date,interval,opening_strength_threshold,volume_ratio_threshold,starting_universe,data_available,after_momentum_filter,after_vwap_filter,after_mean_reversion_filter,after_volatility_filter,final_candidates,trades_taken,selected_symbols,daily_return,bist100_return,excess_return
2026-06-08,30m,0.003,1.2,18,17,0,0,0,0,0,0,,0.0,0.012689288362259576,-0.012689288362259576
2026-06-09,30m,0.003,1.2,18,17,2,2,2,2,2,2,"TCELL.IS, FROTO.IS",-0.016703471517337126,-0.008389273093592942,-0.008314198423744184
2026-06-10,30m,0.003,1.2,18,17,0,0,0,0,0,0,,0.0,-0.00683528174821868,0.00683528174821868
2026-05-08,30m,0.004,1.0,18,17,3,3,3,3,3,3,"SISE.IS, TCELL.IS, ASELS.IS",0.0036123768272796285,0.001207437127042521,0.0024049397002371075
2026-05-11,30m,0.004,1.0,18,17,4,4,4,4,4,3,"SISE.IS, KCHOL.IS, TCELL.IS",-0.005987118206568534,0.003498668387257986,-0.009485786593826519
2026-05-12,30m,0.004,1.0,18,17,2,2,2,2,2,2,"PETKM.IS, SISE.IS",-0.01544827350776386,-0.022668824969372614,0.007220551461608753
2026-05-13,30m,0.004,1.0,18,17,0,0,0,0,0,0,,0.0,-0.011079213735264881,0.011079213735264881
2026-05-14,30m,0.004,1.0,18,17,2,2,2,2,2,2,"KCHOL.IS, FROTO.IS",-0.00823150613333967,0.003518870001424146,-0.011750376134763816
2026-05-15,30m,0.004,1.0,18,17,1,1,1,1,1,1,PETKM.IS,-0.014096114207155397,-0.01921516909680887,0.005119054889653474
2026-05-18,30m,0.004,1.0,18,17,1,1,1,1,1,1,TOASO.IS,-0.011664479081214115,-0.02154499102866947,0.009880511947455354
2026-05-20,30m,0.004,1.0,18,17,2,2,2,2,2,2,"KCHOL.IS, SAHOL.IS",-0.00021842219553843144,-0.001279457149879537,0.0010610349543411057
2026-05-21,30m,0.004,1.0,18,17,0,0,0,0,0,0,,0.0,-0.06028471112044087,0.06028471112044087
2026-05-22,30m,0.004,1.0,18,17,0,0,0,0,0,0,,0.0,0.05044565529210243,-0.05044565529210243
2026-05-25,30m,0.004,1.0,18,17,0,0,0,0,0,0,,0.0,0.004390860644755357,-0.004390860644755357
2026-05-26,30m,0.004,1.0,18,17,0,0,0,0,0,0,,0.0,-0.016425140878716493,0.016425140878716493
2026-06-01,30m,0.004,1.0,18,17,1,1,1,1,1,1,TOASO.IS,-0.008949561403508777,0.0037086180948198155,-0.012658179498328592
2026-06-02,30m,0.004,1.0,18,17,3,2,2,2,2,2,"KCHOL.IS, PGSUS.IS",0.005906532252736447,0.03489795911095772,-0.028991426858221273
2026-06-03,30m,0.004,1.0,18,17,0,0,0,0,0,0,,0.0,-0.0179081844755572,0.0179081844755572
2026-06-04,30m,0.004,1.0,18,17,1,0,0,0,0,0,,0.0,-0.00762585321994691,0.00762585321994691
2026-06-05,30m,0.004,1.0,18,17,0,0,0,0,0,0,,0.0,-0.013862192844527721,0.013862192844527721
2026-06-08,30m,0.004,1.0,18,17,0,0,0,0,0,0,,0.0,0.012689288362259576,-0.012689288362259576
2026-06-09,30m,0.004,1.0,18,17,4,4,4,4,4,3,"TOASO.IS, TCELL.IS, FROTO.IS",-0.019111129174994797,-0.008389273093592942,-0.010721856081401856
2026-06-10,30m,0.004,1.0,18,17,0,0,0,0,0,0,,0.0,-0.00683528174821868,0.00683528174821868
2026-05-08,30m,0.004,1.05,18,17,3,3,3,3,3,3,"SISE.IS, TCELL.IS, ASELS.IS",0.0036123768272796285,0.001207437127042521,0.0024049397002371075
2026-05-11,30m,0.004,1.05,18,17,2,2,2,2,2,2,"SISE.IS, ARCLK.IS",-0.0017445070262702678,0.003498668387257986,-0.005243175413528254
2026-05-12,30m,0.004,1.05,18,17,2,2,2,2,2,2,"PETKM.IS, SISE.IS",-0.01544827350776386,-0.022668824969372614,0.007220551461608753
2026-05-13,30m,0.004,1.05,18,17,0,0,0,0,0,0,,0.0,-0.011079213735264881,0.011079213735264881
2026-05-14,30m,0.004,1.05,18,17,0,0,0,0,0,0,,0.0,0.003518870001424146,-0.003518870001424146
2026-05-15,30m,0.004,1.05,18,17,1,1,1,1,1,1,PETKM.IS,-0.014096114207155397,-0.01921516909680887,0.005119054889653474
2026-05-18,30m,0.004,1.05,18,17,0,0,0,0,0,0,,0.0,-0.02154499102866947,0.02154499102866947
2026-05-20,30m,0.004,1.05,18,17,1,1,1,1,1,1,KCHOL.IS,-0.0006598691356425686,-0.001279457149879537,0.0006195880142369685
2026-05-21,30m,0.004,1.05,18,17,0,0,0,0,0,0,,0.0,-0.06028471112044087,0.06028471112044087
2026-05-22,30m,0.004,1.05,18,17,0,0,0,0,0,0,,0.0,0.05044565529210243,-0.05044565529210243
2026-05-25,30m,0.004,1.05,18,17,0,0,0,0,0,0,,0.0,0.004390860644755357,-0.004390860644755357
2026-05-26,30m,0.004,1.05,18,17,0,0,0,0,0,0,,0.0,-0.016425140878716493,0.016425140878716493
2026-06-01,30m,0.004,1.05,18,17,1,1,1,1,1,1,TOASO.IS,-0.008949561403508777,0.0037086180948198155,-0.012658179498328592
2026-06-02,30m,0.004,1.05,18,17,0,0,0,0,0,0,,0.0,0.03489795911095772,-0.03489795911095772
2026-06-03,30m,0.004,1.05,18,17,0,0,0,0,0,0,,0.0,-0.0179081844755572,0.0179081844755572
2026-06-04,30m,0.004,1.05,18,17,1,0,0,0,0,0,,0.0,-0.00762585321994691,0.00762585321994691
2026-06-05,30m,0.004,1.05,18,17,0,0,0,0,0,0,,0.0,-0.013862192844527721,0.013862192844527721
2026-06-08,30m,0.004,1.05,18,17,0,0,0,0,0,0,,0.0,0.012689288362259576,-0.012689288362259576
2026-06-09,30m,0.004,1.05,18,17,3,3,3,3,3,3,"TOASO.IS, TCELL.IS, FROTO.IS",-0.019111129174994797,-0.008389273093592942,-0.010721856081401856
2026-06-10,30m,0.004,1.05,18,17,0,0,0,0,0,0,,0.0,-0.00683528174821868,0.00683528174821868
2026-05-08,30m,0.004,1.1,18,17,3,3,3,3,3,3,"SISE.IS, TCELL.IS, ASELS.IS",0.0036123768272796285,0.001207437127042521,0.0024049397002371075
2026-05-11,30m,0.004,1.1,18,17,2,2,2,2,2,2,"SISE.IS, ARCLK.IS",-0.0017445070262702678,0.003498668387257986,-0.005243175413528254
2026-05-12,30m,0.004,1.1,18,17,2,2,2,2,2,2,"PETKM.IS, SISE.IS",-0.01544827350776386,-0.022668824969372614,0.007220551461608753
2026-05-13,30m,0.004,1.1,18,17,0,0,0,0,0,0,,0.0,-0.011079213735264881,0.011079213735264881
2026-05-14,30m,0.004,1.1,18,17,0,0,0,0,0,0,,0.0,0.003518870001424146,-0.003518870001424146
2026-05-15,30m,0.004,1.1,18,17,0,0,0,0,0,0,,0.0,-0.01921516909680887,0.01921516909680887
2026-05-18,30m,0.004,1.1,18,17,0,0,0,0,0,0,,0.0,-0.02154499102866947,0.02154499102866947
2026-05-20,30m,0.004,1.1,18,17,1,1,1,1,1,1,KCHOL.IS,-0.0006598691356425686,-0.001279457149879537,0.0006195880142369685
2026-05-21,30m,0.004,1.1,18,17,0,0,0,0,0,0,,0.0,-0.06028471112044087,0.06028471112044087
2026-05-22,30m,0.004,1.1,18,17,0,0,0,0,0,0,,0.0,0.05044565529210243,-0.05044565529210243
2026-05-25,30m,0.004,1.1,18,17,0,0,0,0,0,0,,0.0,0.004390860644755357,-0.004390860644755357
2026-05-26,30m,0.004,1.1,18,17,0,0,0,0,0,0,,0.0,-0.016425140878716493,0.016425140878716493
2026-06-01,30m,0.004,1.1,18,17,1,1,1,1,1,1,TOASO.IS,-0.008949561403508777,0.0037086180948198155,-0.012658179498328592
2026-06-02,30m,0.004,1.1,18,17,0,0,0,0,0,0,,0.0,0.03489795911095772,-0.03489795911095772
2026-06-03,30m,0.004,1.1,18,17,0,0,0,0,0,0,,0.0,-0.0179081844755572,0.0179081844755572
2026-06-04,30m,0.004,1.1,18,17,1,0,0,0,0,0,,0.0,-0.00762585321994691,0.00762585321994691
2026-06-05,30m,0.004,1.1,18,17,0,0,0,0,0,0,,0.0,-0.013862192844527721,0.013862192844527721
2026-06-08,30m,0.004,1.1,18,17,0,0,0,0,0,0,,0.0,0.012689288362259576,-0.012689288362259576
2026-06-09,30m,0.004,1.1,18,17,2,2,2,2,2,2,"TCELL.IS, FROTO.IS",-0.016703471517337126,-0.008389273093592942,-0.008314198423744184
2026-06-10,30m,0.004,1.1,18,17,0,0,0,0,0,0,,0.0,-0.00683528174821868,0.00683528174821868
2026-05-08,30m,0.004,1.2,18,17,3,3,3,3,3,3,"SISE.IS, TCELL.IS, ASELS.IS",0.0036123768272796285,0.001207437127042521,0.0024049397002371075
2026-05-11,30m,0.004,1.2,18,17,1,1,1,1,1,1,ARCLK.IS,0.003653864151904571,0.003498668387257986,0.0001551957646465851
2026-05-12,30m,0.004,1.2,18,17,2,2,2,2,2,2,"PETKM.IS, SISE.IS",-0.01544827350776386,-0.022668824969372614,0.007220551461608753
2026-05-13,30m,0.004,1.2,18,17,0,0,0,0,0,0,,0.0,-0.011079213735264881,0.011079213735264881
2026-05-14,30m,0.004,1.2,18,17,0,0,0,0,0,0,,0.0,0.003518870001424146,-0.003518870001424146
2026-05-15,30m,0.004,1.2,18,17,0,0,0,0,0,0,,0.0,-0.01921516909680887,0.01921516909680887
2026-05-18,30m,0.004,1.2,18,17,0,0,0,0,0,0,,0.0,-0.02154499102866947,0.02154499102866947
2026-05-20,30m,0.004,1.2,18,17,0,0,0,0,0,0,,0.0,-0.001279457149879537,0.001279457149879537
2026-05-21,30m,0.004,1.2,18,17,0,0,0,0,0,0,,0.0,-0.06028471112044087,0.06028471112044087
2026-05-22,30m,0.004,1.2,18,17,0,0,0,0,0,0,,0.0,0.05044565529210243,-0.05044565529210243
2026-05-25,30m,0.004,1.2,18,17,0,0,0,0,0,0,,0.0,0.004390860644755357,-0.004390860644755357
2026-05-26,30m,0.004,1.2,18,17,0,0,0,0,0,0,,0.0,-0.016425140878716493,0.016425140878716493
2026-06-01,30m,0.004,1.2,18,17,0,0,0,0,0,0,,0.0,0.0037086180948198155,-0.0037086180948198155
2026-06-02,30m,0.004,1.2,18,17,0,0,0,0,0,0,,0.0,0.03489795911095772,-0.03489795911095772
2026-06-03,30m,0.004,1.2,18,17,0,0,0,0,0,0,,0.0,-0.0179081844755572,0.0179081844755572
2026-06-04,30m,0.004,1.2,18,17,0,0,0,0,0,0,,0.0,-0.00762585321994691,0.00762585321994691
2026-06-05,30m,0.004,1.2,18,17,0,0,0,0,0,0,,0.0,-0.013862192844527721,0.013862192844527721
2026-06-08,30m,0.004,1.2,18,17,0,0,0,0,0,0,,0.0,0.012689288362259576,-0.012689288362259576
2026-06-09,30m,0.004,1.2,18,17,2,2,2,2,2,2,"TCELL.IS, FROTO.IS",-0.016703471517337126,-0.008389273093592942,-0.008314198423744184
2026-06-10,30m,0.004,1.2,18,17,0,0,0,0,0,0,,0.0,-0.00683528174821868,0.00683528174821868
2026-05-08,30m,0.005,1.0,18,17,2,2,2,2,2,2,"SISE.IS, TCELL.IS",0.008656282084356466,0.001207437127042521,0.007448844957313945
2026-05-11,30m,0.005,1.0,18,17,4,4,4,4,4,3,"SISE.IS, KCHOL.IS, TCELL.IS",-0.005987118206568534,0.003498668387257986,-0.009485786593826519
2026-05-12,30m,0.005,1.0,18,17,2,2,2,2,2,2,"PETKM.IS, SISE.IS",-0.01544827350776386,-0.022668824969372614,0.007220551461608753
2026-05-13,30m,0.005,1.0,18,17,0,0,0,0,0,0,,0.0,-0.011079213735264881,0.011079213735264881
2026-05-14,30m,0.005,1.0,18,17,2,2,2,2,2,2,"KCHOL.IS, FROTO.IS",-0.00823150613333967,0.003518870001424146,-0.011750376134763816
2026-05-15,30m,0.005,1.0,18,17,1,1,1,1,1,1,PETKM.IS,-0.014096114207155397,-0.01921516909680887,0.005119054889653474
2026-05-18,30m,0.005,1.0,18,17,1,1,1,1,1,1,TOASO.IS,-0.011664479081214115,-0.02154499102866947,0.009880511947455354
2026-05-20,30m,0.005,1.0,18,17,2,2,2,2,2,2,"KCHOL.IS, SAHOL.IS",-0.00021842219553843144,-0.001279457149879537,0.0010610349543411057
2026-05-21,30m,0.005,1.0,18,17,0,0,0,0,0,0,,0.0,-0.06028471112044087,0.06028471112044087
2026-05-22,30m,0.005,1.0,18,17,0,0,0,0,0,0,,0.0,0.05044565529210243,-0.05044565529210243
2026-05-25,30m,0.005,1.0,18,17,0,0,0,0,0,0,,0.0,0.004390860644755357,-0.004390860644755357
2026-05-26,30m,0.005,1.0,18,17,0,0,0,0,0,0,,0.0,-0.016425140878716493,0.016425140878716493
2026-06-01,30m,0.005,1.0,18,17,1,1,1,1,1,1,TOASO.IS,-0.008949561403508777,0.0037086180948198155,-0.012658179498328592
2026-06-02,30m,0.005,1.0,18,17,3,2,2,2,2,2,"KCHOL.IS, PGSUS.IS",0.005906532252736447,0.03489795911095772,-0.028991426858221273
2026-06-03,30m,0.005,1.0,18,17,0,0,0,0,0,0,,0.0,-0.0179081844755572,0.0179081844755572
2026-06-04,30m,0.005,1.0,18,17,1,0,0,0,0,0,,0.0,-0.00762585321994691,0.00762585321994691
2026-06-05,30m,0.005,1.0,18,17,0,0,0,0,0,0,,0.0,-0.013862192844527721,0.013862192844527721
2026-06-08,30m,0.005,1.0,18,17,0,0,0,0,0,0,,0.0,0.012689288362259576,-0.012689288362259576
2026-06-09,30m,0.005,1.0,18,17,4,4,4,4,4,3,"TOASO.IS, TCELL.IS, FROTO.IS",-0.019111129174994797,-0.008389273093592942,-0.010721856081401856
2026-06-10,30m,0.005,1.0,18,17,0,0,0,0,0,0,,0.0,-0.00683528174821868,0.00683528174821868
2026-05-08,30m,0.005,1.05,18,17,2,2,2,2,2,2,"SISE.IS, TCELL.IS",0.008656282084356466,0.001207437127042521,0.007448844957313945
2026-05-11,30m,0.005,1.05,18,17,2,2,2,2,2,2,"SISE.IS, ARCLK.IS",-0.0017445070262702678,0.003498668387257986,-0.005243175413528254
2026-05-12,30m,0.005,1.05,18,17,2,2,2,2,2,2,"PETKM.IS, SISE.IS",-0.01544827350776386,-0.022668824969372614,0.007220551461608753
2026-05-13,30m,0.005,1.05,18,17,0,0,0,0,0,0,,0.0,-0.011079213735264881,0.011079213735264881
2026-05-14,30m,0.005,1.05,18,17,0,0,0,0,0,0,,0.0,0.003518870001424146,-0.003518870001424146
2026-05-15,30m,0.005,1.05,18,17,1,1,1,1,1,1,PETKM.IS,-0.014096114207155397,-0.01921516909680887,0.005119054889653474
2026-05-18,30m,0.005,1.05,18,17,0,0,0,0,0,0,,0.0,-0.02154499102866947,0.02154499102866947
2026-05-20,30m,0.005,1.05,18,17,1,1,1,1,1,1,KCHOL.IS,-0.0006598691356425686,-0.001279457149879537,0.0006195880142369685
2026-05-21,30m,0.005,1.05,18,17,0,0,0,0,0,0,,0.0,-0.06028471112044087,0.06028471112044087
2026-05-22,30m,0.005,1.05,18,17,0,0,0,0,0,0,,0.0,0.05044565529210243,-0.05044565529210243
2026-05-25,30m,0.005,1.05,18,17,0,0,0,0,0,0,,0.0,0.004390860644755357,-0.004390860644755357
2026-05-26,30m,0.005,1.05,18,17,0,0,0,0,0,0,,0.0,-0.016425140878716493,0.016425140878716493
2026-06-01,30m,0.005,1.05,18,17,1,1,1,1,1,1,TOASO.IS,-0.008949561403508777,0.0037086180948198155,-0.012658179498328592
2026-06-02,30m,0.005,1.05,18,17,0,0,0,0,0,0,,0.0,0.03489795911095772,-0.03489795911095772
2026-06-03,30m,0.005,1.05,18,17,0,0,0,0,0,0,,0.0,-0.0179081844755572,0.0179081844755572
2026-06-04,30m,0.005,1.05,18,17,1,0,0,0,0,0,,0.0,-0.00762585321994691,0.00762585321994691
2026-06-05,30m,0.005,1.05,18,17,0,0,0,0,0,0,,0.0,-0.013862192844527721,0.013862192844527721
2026-06-08,30m,0.005,1.05,18,17,0,0,0,0,0,0,,0.0,0.012689288362259576,-0.012689288362259576
2026-06-09,30m,0.005,1.05,18,17,3,3,3,3,3,3,"TOASO.IS, TCELL.IS, FROTO.IS",-0.019111129174994797,-0.008389273093592942,-0.010721856081401856
2026-06-10,30m,0.005,1.05,18,17,0,0,0,0,0,0,,0.0,-0.00683528174821868,0.00683528174821868
2026-05-08,30m,0.005,1.1,18,17,2,2,2,2,2,2,"SISE.IS, TCELL.IS",0.008656282084356466,0.001207437127042521,0.007448844957313945
2026-05-11,30m,0.005,1.1,18,17,2,2,2,2,2,2,"SISE.IS, ARCLK.IS",-0.0017445070262702678,0.003498668387257986,-0.005243175413528254
2026-05-12,30m,0.005,1.1,18,17,2,2,2,2,2,2,"PETKM.IS, SISE.IS",-0.01544827350776386,-0.022668824969372614,0.007220551461608753
2026-05-13,30m,0.005,1.1,18,17,0,0,0,0,0,0,,0.0,-0.011079213735264881,0.011079213735264881
2026-05-14,30m,0.005,1.1,18,17,0,0,0,0,0,0,,0.0,0.003518870001424146,-0.003518870001424146
2026-05-15,30m,0.005,1.1,18,17,0,0,0,0,0,0,,0.0,-0.01921516909680887,0.01921516909680887
2026-05-18,30m,0.005,1.1,18,17,0,0,0,0,0,0,,0.0,-0.02154499102866947,0.02154499102866947
2026-05-20,30m,0.005,1.1,18,17,1,1,1,1,1,1,KCHOL.IS,-0.0006598691356425686,-0.001279457149879537,0.0006195880142369685
2026-05-21,30m,0.005,1.1,18,17,0,0,0,0,0,0,,0.0,-0.06028471112044087,0.06028471112044087
2026-05-22,30m,0.005,1.1,18,17,0,0,0,0,0,0,,0.0,0.05044565529210243,-0.05044565529210243
2026-05-25,30m,0.005,1.1,18,17,0,0,0,0,0,0,,0.0,0.004390860644755357,-0.004390860644755357
2026-05-26,30m,0.005,1.1,18,17,0,0,0,0,0,0,,0.0,-0.016425140878716493,0.016425140878716493
2026-06-01,30m,0.005,1.1,18,17,1,1,1,1,1,1,TOASO.IS,-0.008949561403508777,0.0037086180948198155,-0.012658179498328592
2026-06-02,30m,0.005,1.1,18,17,0,0,0,0,0,0,,0.0,0.03489795911095772,-0.03489795911095772
2026-06-03,30m,0.005,1.1,18,17,0,0,0,0,0,0,,0.0,-0.0179081844755572,0.0179081844755572
2026-06-04,30m,0.005,1.1,18,17,1,0,0,0,0,0,,0.0,-0.00762585321994691,0.00762585321994691
2026-06-05,30m,0.005,1.1,18,17,0,0,0,0,0,0,,0.0,-0.013862192844527721,0.013862192844527721
2026-06-08,30m,0.005,1.1,18,17,0,0,0,0,0,0,,0.0,0.012689288362259576,-0.012689288362259576
2026-06-09,30m,0.005,1.1,18,17,2,2,2,2,2,2,"TCELL.IS, FROTO.IS",-0.016703471517337126,-0.008389273093592942,-0.008314198423744184
2026-06-10,30m,0.005,1.1,18,17,0,0,0,0,0,0,,0.0,-0.00683528174821868,0.00683528174821868
2026-05-08,30m,0.005,1.2,18,17,2,2,2,2,2,2,"SISE.IS, TCELL.IS",0.008656282084356466,0.001207437127042521,0.007448844957313945
2026-05-11,30m,0.005,1.2,18,17,1,1,1,1,1,1,ARCLK.IS,0.003653864151904571,0.003498668387257986,0.0001551957646465851
2026-05-12,30m,0.005,1.2,18,17,2,2,2,2,2,2,"PETKM.IS, SISE.IS",-0.01544827350776386,-0.022668824969372614,0.007220551461608753
2026-05-13,30m,0.005,1.2,18,17,0,0,0,0,0,0,,0.0,-0.011079213735264881,0.011079213735264881
2026-05-14,30m,0.005,1.2,18,17,0,0,0,0,0,0,,0.0,0.003518870001424146,-0.003518870001424146
2026-05-15,30m,0.005,1.2,18,17,0,0,0,0,0,0,,0.0,-0.01921516909680887,0.01921516909680887
2026-05-18,30m,0.005,1.2,18,17,0,0,0,0,0,0,,0.0,-0.02154499102866947,0.02154499102866947
2026-05-20,30m,0.005,1.2,18,17,0,0,0,0,0,0,,0.0,-0.001279457149879537,0.001279457149879537
2026-05-21,30m,0.005,1.2,18,17,0,0,0,0,0,0,,0.0,-0.06028471112044087,0.06028471112044087
2026-05-22,30m,0.005,1.2,18,17,0,0,0,0,0,0,,0.0,0.05044565529210243,-0.05044565529210243
2026-05-25,30m,0.005,1.2,18,17,0,0,0,0,0,0,,0.0,0.004390860644755357,-0.004390860644755357
2026-05-26,30m,0.005,1.2,18,17,0,0,0,0,0,0,,0.0,-0.016425140878716493,0.016425140878716493
2026-06-01,30m,0.005,1.2,18,17,0,0,0,0,0,0,,0.0,0.0037086180948198155,-0.0037086180948198155
2026-06-02,30m,0.005,1.2,18,17,0,0,0,0,0,0,,0.0,0.03489795911095772,-0.03489795911095772
2026-06-03,30m,0.005,1.2,18,17,0,0,0,0,0,0,,0.0,-0.0179081844755572,0.0179081844755572
2026-06-04,30m,0.005,1.2,18,17,0,0,0,0,0,0,,0.0,-0.00762585321994691,0.00762585321994691
2026-06-05,30m,0.005,1.2,18,17,0,0,0,0,0,0,,0.0,-0.013862192844527721,0.013862192844527721
2026-06-08,30m,0.005,1.2,18,17,0,0,0,0,0,0,,0.0,0.012689288362259576,-0.012689288362259576
2026-06-09,30m,0.005,1.2,18,17,2,2,2,2,2,2,"TCELL.IS, FROTO.IS",-0.016703471517337126,-0.008389273093592942,-0.008314198423744184
2026-06-10,30m,0.005,1.2,18,17,0,0,0,0,0,0,,0.0,-0.00683528174821868,0.00683528174821868
